K,  x,   hprime,  gprime,   
1.81645e+00,    4.15037e-01,   1.09804e+00,    5.37449e-01,  
1.81645e+00,    5.09434e-01,   1.17087e+00,    5.28340e-01,  
1.81645e+00,    6.23395e-01,   1.26813e+00,    5.22343e-01,  
1.81645e+00,    7.61249e-01,   1.39362e+00,    5.18368e-01,  
1.81645e+00,    9.28473e-01,   1.55212e+00,    5.15453e-01,  
1.81645e+00,    1.13206e+00,   1.74969e+00,    5.12901e-01,  
1.81645e+00,    1.38105e+00,   1.99439e+00,    5.10412e-01,  
1.81645e+00,    1.68719e+00,   2.29716e+00,    5.08047e-01,  
1.81645e+00,    2.06601e+00,   2.67308e+00,    5.06003e-01,  
1.81645e+00,    2.53825e+00,   3.14277e+00,    5.04374e-01,  
1.81645e+00,    3.13200e+00,   3.73427e+00,    5.03123e-01,  
1.81645e+00,    3.88591e+00,   4.48619e+00,    5.02176e-01,  
1.81645e+00,    4.85413e+00,   5.45258e+00,    5.01471e-01,  
1.81645e+00,    6.11390e+00,   6.71067e+00,    5.00960e-01,  
1.81645e+00,    7.77797e+00,   8.37314e+00,    5.00599e-01,  
1.81645e+00,    1.00150e+01,   1.06086e+01,    5.00354e-01,  
1.81645e+00,    1.30844e+01,   1.36765e+01,    5.00195e-01,  
1.81645e+00,    1.73992e+01,   1.79898e+01,    5.00098e-01,  
1.81645e+00,    2.36418e+01,   2.42309e+01,    5.00043e-01,  
1.81645e+00,    3.29939e+01,   3.35816e+01,    5.00015e-01,  
1.81645e+00,    4.76178e+01,   4.82040e+01,    5.00002e-01,  
1.81645e+00,    7.12060e+01,   7.17907e+01,    4.99996e-01,  
1.81645e+00,    1.06974e+02,   1.07557e+02,    4.99995e-01,  
1.81645e+00,    1.60708e+02,   1.61289e+02,    4.99995e-01,  
1.81645e+00,    2.41433e+02,   2.42012e+02,    4.99995e-01,  
1.81645e+00,    3.62707e+02,   3.63284e+02,    4.99995e-01,  
1.81645e+00,    5.44899e+02,   5.45474e+02,    4.99996e-01,  
1.81645e+00,    8.18607e+02,   8.19180e+02,    4.99996e-01,  
7.44580e-01,    0.00000e+00,   Inf,    Inf,  
7.44580e-01,    2.88437e-07,   1.85768e+02,    3.45353e+02,  
7.44580e-01,    2.30780e-06,   6.65507e+01,    1.22093e+02,  
7.44580e-01,    7.79052e-06,   3.68140e+01,    6.64525e+01,  
7.44580e-01,    1.84721e-05,   2.43442e+01,    4.31565e+01,  
7.44580e-01,    3.60925e-05,   1.77553e+01,    3.08752e+01,  
7.44580e-01,    9.91416e-05,   1.11565e+01,    1.86313e+01,  
7.44580e-01,    2.11007e-04,   7.97146e+00,    1.27737e+01,  
7.44580e-01,    3.85929e-04,   6.14291e+00,    9.44840e+00,  
7.44580e-01,    6.38369e-04,   4.97374e+00,    7.35000e+00,  
7.44580e-01,    9.83063e-04,   4.16913e+00,    5.92681e+00,  
7.44580e-01,    1.43507e-03,   3.58505e+00,    4.90967e+00,  
7.44580e-01,    2.00984e-03,   3.14359e+00,    4.15326e+00,  
7.44580e-01,    3.13705e-03,   2.65421e+00,    3.33158e+00,  
7.44580e-01,    5.86203e-03,   2.11212e+00,    2.44992e+00,  
7.44580e-01,    9.88783e-03,   1.76110e+00,    1.90088e+00,  
7.44580e-01,    1.55224e-02,   1.51799e+00,    1.53335e+00,  
7.44580e-01,    2.31120e-02,   1.34212e+00,    1.27453e+00,  
7.44580e-01,    3.30502e-02,   1.21145e+00,    1.08545e+00,  
7.44580e-01,    4.57896e-02,   1.11311e+00,    9.43576e-01,  
7.44580e-01,    6.18553e-02,   1.03925e+00,    8.35084e-01,  
7.44580e-01,    8.18615e-02,   9.84938e-01,    7.51075e-01,  
7.44580e-01,    1.06532e-01,   9.47104e-01,    6.85600e-01,  
7.44580e-01,    1.36727e-01,   9.23939e-01,    6.34547e-01,  
7.44580e-01,    1.73474e-01,   9.14574e-01,    5.94985e-01,  
7.44580e-01,    2.18009e-01,   9.18904e-01,    5.64764e-01,  
7.44580e-01,    2.71829e-01,   9.37504e-01,    5.42237e-01,  
7.44580e-01,    3.36758e-01,   9.71605e-01,    5.26078e-01,  
7.44580e-01,    4.15037e-01,   1.02310e+00,    5.15140e-01,  
7.44580e-01,    5.09434e-01,   1.09460e+00,    5.08341e-01,  
7.44580e-01,    6.23395e-01,   1.18941e+00,    5.04621e-01,  
7.44580e-01,    7.61249e-01,   1.31167e+00,    5.02906e-01,  
7.44580e-01,    9.28473e-01,   1.46646e+00,    5.02200e-01,  
7.44580e-01,    1.13206e+00,   1.66007e+00,    5.01734e-01,  
7.44580e-01,    1.38105e+00,   1.90064e+00,    5.01123e-01,  
7.44580e-01,    1.68719e+00,   2.19915e+00,    5.00376e-01,  
7.44580e-01,    2.06601e+00,   2.57063e+00,    4.99693e-01,  
7.44580e-01,    2.53825e+00,   3.03565e+00,    4.99211e-01,  
7.44580e-01,    3.13200e+00,   3.62225e+00,    4.98932e-01,  
7.44580e-01,    3.88591e+00,   4.36905e+00,    4.98810e-01,  
7.44580e-01,    4.85413e+00,   5.33009e+00,    4.98804e-01,  
7.44580e-01,    6.11390e+00,   6.58262e+00,    4.98880e-01,  
7.44580e-01,    7.77797e+00,   8.23935e+00,    4.99010e-01,  
7.44580e-01,    1.00150e+01,   1.04689e+01,    4.99171e-01,  
7.44580e-01,    1.30844e+01,   1.35308e+01,    4.99342e-01,  
7.44580e-01,    1.73992e+01,   1.78380e+01,    4.99509e-01,  
7.44580e-01,    2.36418e+01,   2.40730e+01,    4.99659e-01,  
7.44580e-01,    3.29939e+01,   3.34178e+01,    4.99782e-01,  
7.44580e-01,    4.76178e+01,   4.80345e+01,    4.99870e-01,  
7.44580e-01,    7.12060e+01,   7.16156e+01,    4.99920e-01,  
7.44580e-01,    1.06974e+02,   1.07376e+02,    4.99946e-01,  
7.44580e-01,    1.60708e+02,   1.61102e+02,    4.99960e-01,  
7.44580e-01,    2.41433e+02,   2.41817e+02,    4.99968e-01,  
7.44580e-01,    3.62707e+02,   3.63080e+02,    4.99973e-01,  
7.44580e-01,    5.44899e+02,   5.45259e+02,    4.99976e-01,  
7.44580e-01,    8.18607e+02,   8.18953e+02,    4.99977e-01,  
