K,  x,   hprime,  gprime,   
1.81645e+00,    0.00000e+00,   Inf,    Inf,  
1.81645e+00,    2.88437e-07,   4.49809e+02,    3.68636e+02,  
1.81645e+00,    2.30780e-06,   1.59050e+02,    1.30324e+02,  
1.81645e+00,    7.79052e-06,   8.65874e+01,    7.09326e+01,  
1.81645e+00,    1.84721e-05,   5.62486e+01,    4.60659e+01,  
1.81645e+00,    3.60925e-05,   4.02548e+01,    3.29567e+01,  
1.81645e+00,    9.91416e-05,   2.43105e+01,    1.98873e+01,  
1.81645e+00,    2.11007e-04,   1.66834e+01,    1.36347e+01,  
1.81645e+00,    3.85929e-04,   1.23545e+01,    1.00851e+01,  
1.81645e+00,    6.38369e-04,   9.62363e+00,    7.84516e+00,  
1.81645e+00,    9.83063e-04,   7.77227e+00,    6.32593e+00,  
1.81645e+00,    1.43507e-03,   6.44988e+00,    5.24013e+00,  
1.81645e+00,    2.00984e-03,   5.46719e+00,    4.43262e+00,  
1.81645e+00,    3.13705e-03,   4.40100e+00,    3.55538e+00,  
1.81645e+00,    5.86203e-03,   3.26008e+00,    2.61399e+00,  
1.81645e+00,    9.88783e-03,   2.55329e+00,    2.02759e+00,  
1.81645e+00,    1.55224e-02,   2.08396e+00,    1.63492e+00,  
1.81645e+00,    2.31120e-02,   1.75737e+00,    1.35823e+00,  
1.81645e+00,    3.30502e-02,   1.52297e+00,    1.15594e+00,  
1.81645e+00,    4.57896e-02,   1.35166e+00,    1.00399e+00,  
1.81645e+00,    6.18553e-02,   1.22577e+00,    8.87602e-01,  
1.81645e+00,    8.18615e-02,   1.13416e+00,    7.97281e-01,  
1.81645e+00,    1.06532e-01,   1.06967e+00,    7.26657e-01,  
1.81645e+00,    1.36727e-01,   1.02769e+00,    6.71325e-01,  
1.81645e+00,    1.73474e-01,   1.00541e+00,    6.28139e-01,  
1.81645e+00,    2.18009e-01,   1.00133e+00,    5.94781e-01,  
1.81645e+00,    2.71829e-01,   1.01497e+00,    5.69471e-01,  
1.81645e+00,    3.36758e-01,   1.04678e+00,    5.50774e-01,  
